,numNodes,simaTimeMean,simaTimeSd,bnbTimeMean,bnbTimeSd,rmTimeMean,rmTimeSd
1,1,0.006,0.011,0,0,0.006,0.02
2,2,0.003,0.007,0,0,0.002,0.005
3,3,0.003,0.007,0,0,0,0
4,4,0.002,0.005,0,0,0,0
5,5,0.003,0.007,0,0,0,0
6,6,0.005,0.008,0,0,0,0
7,7,0.002,0.005,0,0,0.005,0.008
8,8,0.002,0.005,0.003,0.007,0.006,0.008
9,9,0.006,0.008,0.005,0.008,0.019,0.012
10,10,0.005,0.008,0.039,0.02,0.078,0.05
11,11,0.002,0.005,0.406,0.224,0.819,0.489
12,12,0.002,0.005,2.667,1.332,4.406,5.852
13,13,0.004,0.006,25.454,14.276,4.418,0.706
14,14,0.005,0.008,192.939,106.619,,
15,15,0.002,0.005,1044.718,678.024,,
16,20,0.003,0.007,,,,
17,50,0.005,0.008,,,,
18,100,0.013,0.014,,,,
19,200,0.014,0.005,,,,
20,500,0.064,0.029,,,,
21,1000,0.106,0.007,,,,
